Princeton University,2100,2400
Harvard University,2130,2400
Yale University,2120,2390
Columbia University,2090,2350
Stanford University,2070,2350
University of Chicago,2155,2380
Massachusetts Institute of Technology,2110,2350
Duke University,2060,2360
University of Pennsylvania,2050,2330
California Institute of Technology,2230,2390
Johns Hopkins University,2030,2270
Dartmouth College,2050,2340
Northwestern University,2080,2330
Brown University,2000,2330
Cornell University,1970,2270
Vanderbilt University,2110,2350
Washington University in St. Louis,2120,2340
Rice University,2060,2320
University of Notre Dame,2000,2280
University of California Berkeley,1860,2250
Emory University,1930,2190
Georgetown University,,
Carnegie Mellon University,2000,2300
University of California Los Angeles,1790,2190
University of Southern California,1920,2220
Tufts University,2050,2280
Wake Forest University,,
University of Michigan Ann Arbor,1900,2200
Boston College,1910,2190
University of North Carolina Chapel Hill,1810,2120
New York University,1860,2170
Rochester University,1850,2170
Brandeis University,1890,2190
College of William and Mary,1890,2190
Georgia Institute of Technology,1940,2220
University of California Santa Barbara,1660,2040
University of California Irvine,1540,1910
University of California San Diego,1780,2130
Boston University,1790,2100
Rensselaer Polytechnic Institute,,
Tulane University,1870,2130
University of California Davis,1610,2000
University of Illinois Urbana Champaign,1890,2170
University of Wisconsin Madison,1770,2080
Lehigh University,,
Northeastern University,1980,2230
Pennsylvania State University,1630,1930
University of Florida,1750,2030
University of Miami,1820,2110
Ohio State University Columbus,1720,1970
Pepperdine University,1680,1990
University of Texas Austin,1730,2130
University of Washington,1630,1990
Yeshiva University,1670,2020
George Washington University,1810,2090
University of Connecticut,1700,2000
University of Maryland College Park,,
Worcester Polytechnic Institute,1840,2130
Clemson University,1690,1990
Purdue University West Lafeyette,1600,1960
Southern Methodist University,1820,2100
Syracuse University,1570,1910
University of Georgia,1710,1990
Brigham Young University Provo,,
Fordham University,1730,2030
University of Pittsburgh,1750,2030
University of Minnesota Twin Cities,1750,2030
Texas A&M University College Station,1670,1920
Virginia Tech,1640,1960
American University,1730,2010
Baylor University,1660,1970
"Rutgers, The State University of New Jersey New Brunswick",1630,2000
Clark University,1490,1730
Colorado School of Mines,1790,2050
Indiana University Bloomington,1570,1910
Michigan State University,1430,1840
Stevens Institute of Technology,1810,2100
University of Delaware,1610,1940
University of Massachusetts Amherst,,
Miami University Oxford,,
Texas Christian University,1620,1930
University of California Santa Cruz,1480,1890
University of Iowa,,
Marquette University,1620,1910
University of Denver,1620,1920
University of Tulsa,,
Binghamton University SUNY,1790,2040
North Carolina State University Raleigh,1700,1960
Stony Brook University SUNY,1660,2000
SUNY College of Environmental Science and Forestry,,
University of Colorado Boulder,,
University of San Diego,1690,1980
University of Vermont,1620,1930
Florida State University,1690,1920
Saint Louis University,,
University of Alabama,1470,1850
Drexel University,1620,1930
Loyola University Chicago,1570,1880
University at Buffalo SUNY,,
Auburn University,1570,1890
