Adelphi University,80
American University,100
Andrews University,
Arizona State University,61
Auburn University,79
Azusa Pacific University,94
Ball State University,79
Barry University,79
Baylor University,76
Biola University,79
Boston College,100
Boston University,95
Bowling Green State University,61
Brandeis University,100
Brigham Young University Provo,85
Brown University,100
California Institute of Technology,
Carnegie Mellon University,100
Case Western Reserve University,80
Catholic University of America,80
Central Michigan University,79
Clark Atlanta University,
Clarkson University,80
Clark University,80
Clemson University,80
Cleveland State University,65
College of William and Mary,100
Colorado School of Mines,79
Colorado State University,71
Columbia University,100
Cornell University,100
Dartmouth College,
DePaul University,80
Drexel University,100
Duke University,100
Duquesne University,100
East Carolina University,80
East Tennessee State University,61
Emory University,80
Florida A&M University,80
Florida Atlantic University,80
Florida Institute of Technology,79
Florida International University,80
Florida State University,80
Fordham University,90
George Fox University,80
George Mason University,88
Georgetown University,100
George Washington University,80
Georgia Institute of Technology,79
Georgia Southern University,80
Georgia State University,79
Golden Gate University,71
Harvard University,100
Hofstra University,80
Howard University,
Idaho State University,93
Illinois Institute of Technology,80
Illinois State University,79
Immaculata University,79
Indiana State University,61
Indiana University Bloomington,
Indiana University of Pennsylvania,76
Indiana University Purdue University Indianapolis,61
Iowa State University,71
Jackson State University,
Johns Hopkins University,100
Kansas State University,79
Kent State University,
Lehigh University,
Long Island University C.W. Post Campus,71
Louisiana State University Baton Rouge,79
Louisiana Tech University,80
Loyola University Chicago,80
Marquette University,80
Massachusetts Institute of Technology,90
Miami University Oxford,72
Michigan State University,79
Michigan Technological University,79
Mississippi State University,71
Missouri University of Science & Technology,79
Montana State University,80
Morgan State University,
New Jersey Institute of Technology,79
New Mexico State University,
New School,100
New York University,
North Carolina A&T State University,
North Carolina State University Raleigh,80
North Dakota State University,79
Northeastern University,79
Northern Arizona University,80
Northern Illinois University,80
Northwestern University,111
Nova Southeastern University,79
Oakland University,79
Ohio State University Columbus,71
Ohio University,80
Oklahoma State University,79
Old Dominion University,79
Oral Roberts University,
Oregon State University,53
Pace University,
Pacific University,53
Pennsylvania State University University Park,90
Pepperdine University,80
Polytechnic Institute of New York University,100
Portland State University,68
Princeton University,108
Purdue University West Lafayette,77
Regent University,90
Rensselaer Polytechnic Institute,88
Rice University,90
"Rutgers, the State University of New Jersey Newark",83
"Rutgers, the State University of New Jersey New Brunswick",83
Samford University,80
San Diego State University,80
Seton Hall University,79
South Carolina State University,61
South Dakota State University,
Southern Illinois University Carbondale,80
Southern Methodist University,100
Spalding University,
Stanford University,100
Stevens Institute of Technology,61
St. John’s University,100
St. Louis University,80
St. Mary’s University of Minnesota,79
SUNY Binghamton,80
SUNY College of Environmental Science and Forestry,79
SUNY Stony Brook,80
Syracuse University,80
Temple University,79
Tennessee State University,
Texas A&M University College Station,100
Texas A&M University Commerce,
Texas A&M University Kingsville,79
Texas Christian University,80
Texas Tech University,79
Texas Woman’s University,79
Trevecca Nazarene University,61
Trinity International University,92
Tufts University,100
Tulane University,84
Union Institute and University,80
University at Albany SUNY,79
University at Buffalo SUNY,79
University of Akron,61
University of Alabama,61
University of Alabama Birmingham,61
University of Alabama Huntsville,62
University of Alaska Fairbanks,79
University of Arizona,
University of Arkansas,79
University of Arkansas Little Rock,71
University of Bridgeport,
University of California Berkeley,68
University of California Davis,68
University of California Irvine,80
University of California Los Angeles,87
University of California Riverside,59
University of California San Diego,80
University of California Santa Barbara,80
University of California Santa Cruz,83
University of Central Florida,80
University of Chicago,
University of Cincinnati,68
University of Colorado Boulder,68
University of Colorado Denver,71
University of Connecticut,79
University of Dayton,80
University of Delaware,90
University of Denver,80
University of Florida,80
University of Georgia,80
University of Hartford,79
University of Hawaii Manoa,61
University of Houston,79
University of Idaho,
University of Illinois Chicago,80
University of Illinois Urbana Champaign,79
University of Iowa,81
University of Kansas,60
University of Kentucky,71
University of La Verne,79
University of Louisiana Lafayette,81
University of Louisville,79
University of Maine,71
University of Maryland Baltimore County,80
University of Maryland College Park,100
University of Massachusetts Amherst,80
University of Massachusetts Boston,80
University of Massachusetts Lowell,69
University of Memphis,0
University of Miami,80
University of Michigan Ann Arbor,100
University of Minnesota Twin Cities,79
University of Mississippi,80
University of Missouri,61
University of Missouri Kansas City,79
University of Missouri St. Louis,61
University of Montana,92
University of Nebraska Lincoln,70
University of Nevada Las Vegas,61
University of Nevada Reno,100
University of New Hampshire,80
University of New Mexico,68
University of New Orleans,71
University of North Carolina Chapel Hill,
University of North Carolina Charlotte,64
University of North Carolina Greensboro,79
University of North Dakota,71
University of Northern Colorado,70
University of North Texas,79
University of Notre Dame,80
University of Oklahoma,80
University of Oregon,71
University of Pennsylvania,80
University of Pittsburgh,80
University of Rhode Island,79
University of Rochester,100
University of San Diego,80
University of San Francisco,80
University of South Carolina Columbia,80
University of South Dakota,79
University of South Florida,79
University of St. Thomas,80
University of Tennessee,80
University of Texas Austin,79
University of Texas Dallas,80
University of Texas El Paso,
University of the Pacific,61
University of Toledo,80
University of Tulsa,61
University of Utah,61
University of Vermont,80
University of Virginia,90
University of Washington,76
University of West Florida,80
University of Wisconsin Madison,80
University of Wisconsin Milwaukee,68
University of Wyoming,71
Utah State University,79
Vanderbilt University,100
Virginia Commonwealth University,100
Virginia Tech,80
Wake Forest University,80
Washington State University,68
Washington University in St. Louis,79
Wayne State University,80
Western Michigan University,80
West Virginia University,
Wichita State University,72
Widener University,75
Worcester Polytechnic Institute,80
Wright State University,79
Yale University,100
Yeshiva University,100
